3Ltr,Company,Country,Telephony
JRE,"LGM ENTERPRISES, LLC",UNITED STATES,JET SHARE
JRF,"FIRST AIR TRANSPORT CO., LTD",JAPAN,
JRH,JR INVESTMENTS T/A HALSTEDS AVIATION CORPORATION,ZIMBABWE,BLUETIP
JRO,"JETAEROFUELS, LLC",RUSSIAN FEDERATION,
JRT,"JETRIGHT AIR MANAGEMENT, LLC",UNITED STATES,JETRIGHT
JRY,JET READY,SPAIN,JET READY
JSA,JETSTAR ASIA AIRWAYS PTE LTD,SINGAPORE,JETSTAR ASIA
JSC,JETSTREAM AVIATION CONGO,CONGO,CONGO RIVER
JSH,JET-STREAM LTD,HUNGARY,STREAM AIR
JSI,"JET AIR GROUP, JOINT STOCK COMPANY",RUSSIAN FEDERATION,SISTEMA
JSJ,JS AIR (PRIVATE) LIMITED,PAKISTAN,JS CHARTER
JSL,"NORTHERN AIR TRANSPORT, INC. D/B/A SELECTJET",UNITED STATES,SELECTJET
JSM,JS AVIATION,FINLAND,LIPERI
JSN,SUNCOR ENERGY INC.,CANADA,JETSUN
JSP,"JETSTREAM AVIATION INC (BOISE, ID)",UNITED STATES,SPOOLER
JSS,JET STREAM INTERNATIONAL,PAKISTAN,
JST,JETSTAR AIRWAYS PTY. LTD,AUSTRALIA,JETSTAR
JSU,JIANGSU JET CO. LTD.,CHINA,SU JET
JSV,"JOMO AIR SERVICE CO., LTD",JAPAN,
JSW,JIGSAW PROJECT (BRISTOW HELICOPTERS LTD),UNITED KINGDOM,JIGSAW
JSX,DELUX PUBLIC CHARTER LLC,UNITED STATES,BIGSTRIPE
JSY,JUNG SKY,CROATIA,JUNG SKY
JTA,"JAPAN TRANSOCEAN AIR CO., LTD.",JAPAN,JAI OCEAN
JTB,JET BUDGET,NETHERLANDS,
JTC,JETICA,RUSSIAN FEDERATION,JETICA
JTD,JETTIME AS,DENMARK,JET TIME
JTE,NATIONAL JET EXPRESS T/A JETEX,AUSTRALIA,JETEX
JTI,"IMPERIALJET EUROPE GMBH, HALLBERGMOOS",GERMANY,JETCLIPPER
JTL,"JET LINX AVIATION, LLC (OMAHA, NE)",UNITED STATES,JET LINX
JTM,"EAST COAST FLIGHT SERVICES, INC.",UNITED STATES,JET COAST
JTN,JET TEST INTL.,UNITED STATES,JET TEST
JTR,EXECUTIVE AVIATION SERVICES LTD,UNITED KINGDOM,JESTER
JTS,ZEMAN FLUGTECHNIK & LOGISTIK GMBH,GERMANY,JETSERVICE
JTT,JET-2000,RUSSIAN FEDERATION,MOSCOW JET
JTU,ZHETYSU,KAZAKHSTAN,ZHETYSU
JTY,JETOLOGY,AUSTRIA,JETOLOGY
JTZ,"NICHOLAS SERVICES, LLC",UNITED STATES,STEEL JET
JUA,JUPITER AIRLINES LIMITED,GAMBIA,JUPITER GAMBIA
JUB,JUBBA AIRWAYS,SOMALIA,JUBBA
JUC,JUBA CARGO SERVICES & AVIATION CO. LTD,SUDAN,JUBA CARGO
JUM,"JUMP AVIATION, S.L.",SPAIN,
JUP,UAB JUMP AIR,LITHUANIA,JUMP AIR
JUS,"USA JET AIRLINES, INC. (BELLEVILLE, MI)",UNITED STATES,JET USA
JUT,JUTLAND JETS AIR TAXI A/S,DENMARK,JUTLAND
JVE,JIVE AVIATION LP,CANADA,HURON
JWD,"JAYAWIJAYA DIRGANTARA, PT.",INDONESIA,WIJAYA AIR
JWX,JETWAYS AIRLINES,KENYA,JETWAYS
JXT,JETSTREAM EXECUTIVE TRAVEL LTD,UNITED KINGDOM,VANNIN
JXX,JINXIANG AIRLINES,CHINA,COCONUT
JYA,"NATIONAL AIR CHARTERS, INC.",UNITED STATES,SUNBIZ
JYH,"NINE AIR CO., LTD.",CHINA,TRANS JADE
JYP,"J & P CORPORATE FLIGHTS, S.A. DE C.V.",MEXICO,CORP-FLIGHT
JYR,TRANSPORTE AEREO DE CARGA DEL CARIBE S.A. TAECA,PANAMA,TAECA
JZA,JAZZ AVIATION LP,CANADA,JAZZ
JZR,JAZEERA AIRWAYS,KUWAIT,JAZEERA
KAB,AIR POHANG,REPUBLIC OF KOREA,AIR POHANG
KAC,KUWAIT AIRWAYS CORPORATION,KUWAIT,KUWAITI
KAG,KOREA AVIATION COLLEGE,REPUBLIC OF KOREA,AVIATION COLLEGE
KAI,"KAISER AIR, INC. (OAKLAND, CA)",UNITED STATES,KAISER
KAJ,KARTHAGO AIRLINES,TUNISIA,KARTHAGO
KAL,"KOREAN AIR LINES CO., LTD.",REPUBLIC OF KOREA,KOREANAIR
KAM,SUNKAR AIR,KAZAKHSTAN,SUNKAR
KAN,"KANSAS HIGHWAY PATROL (TOPEKA, KS)",UNITED STATES,KANSAS
KAP,"HYANNIS AIR SERVICE, INC. D/B/A CAPE AIR (HYANNIS, MA)",UNITED STATES,CAIR
KAR,"AIRCOMPANY IKAR, LLC",RUSSIAN FEDERATION,IKAR
KAS,AIR COMPANY CAAS,KYRGYZSTAN,PEGAS
KAT,AERO TAK LIMITED,NIGERIA,AEROTAK
KAV,ARMENIAN HELICOPTERS,ARMENIA,ARMHELI
KAY,"K5-AVIATION GMBH, GAMMELSDORF",GERMANY,KAYAK
KAZ,COMLUX-KZ JSC,KAZAKHSTAN,KAZLUX
KBA,KENN BOREK AIR LTD.,CANADA,BOREK AIR
KBD,JETKEY,FRANCE,JET KEY
KBL,KABUL AIR,AFGHANISTAN,KABUL AIR
KBN,SRIRACHA AVIATION CO. LTD.,THAILAND,KABIN
KBR,KORALBLUE AIRLINES,EGYPT,KORAL BLUE
KBS,BUSINESS AERO LLC,RUSSIAN FEDERATION,
KBV,KUSTBEVAKNINGEN,SWEDEN,SWECOAST
KBX,IBEX-U.L. SP. Z.O.O.,POLAND,SKYBEX
KBZ,AIR KBZ LIMITED,MYANMAR,JADE AIR
KCE,IRVING OIL TRANSPORT LTD,CANADA,KACEY
KCH,"KC INTERNATIONAL AIRLINES CO., LTD",CAMBODIA,CAM AIR
KCR,"KOLOB CANYON AIR SERVICES (CEDAR CITY, UT)",UNITED STATES,KOLOB
KCU,SKYLINE ULASIM TICARET A.S.,TURKEY,KOCOGLU
KDA,KEUK DONG DAE,REPUBLIC OF KOREA,KEUK DONG DAE
KDR,ROYAL DAISY AIRLINES LTD,UGANDA,DARLINES
KDS,"SCHUMAN AVIATION COMPANY LTD (HONOLULU, HI)",UNITED STATES,KALEO
KEA,KOREA EXPRESS AIRLINES,REPUBLIC OF KOREA,KOREA EXPRESS
KEJ,KAZ AIR JET JSC,KAZAKHSTAN,KAZAIRJET
KEM,CEMAIR (PTY) LTD,SOUTH AFRICA,CEMAIR
KEN,"KENMORE AIR HARBOR, INC. (KENMORE, WA)",UNITED STATES,KENMORE
KER,KERMAS AVIATION,MALTA,KERMAS
KEW,KEEWATIN AIR,CANADA,BLIZZARD
KEY,"KEY AIR, LLC (OXFORD, CT)",UNITED STATES,KEY AIR
KFA,KELOWNA FLIGHTCRAFT AIR CHARTER LTD.,CANADA,FLIGHTCRAFT
KFB,"SUPERIOR TRANSPORTATION ASSOCIATES, INC - DBA STAJETS",UNITED STATES,MISSION
KFC,KREMENCHUK FLIGHT COLLEGE,UKRAINE,KREMENCHUK
KFE,SKYFIRST LTD,MALTA,MORITO
KFK,AERO CHARTER KRIFKA GES MBH,AUSTRIA,KRIFKA AIR
KFR,KINGFISHER AIRLINES LIMITED,INDIA,KINGFISHER
KFS,"KALITTA FLYING SERVICE, INC. (MORRISTOWN, TN)",UNITED STATES,KALITTA
KGB,SAPSAN AIRLINE,KYRGYZSTAN,SAPSAN
KGC,AIR KG,KYRGYZSTAN,SALAM AIR
KGK,SKY KG AIRLINES,KYRGYZSTAN,KYRGYZ SKY
KGL,AIRCOMPANY KOGALYMAVIA LTD,RUSSIAN FEDERATION,KOGALYM
KGS,KAP.KG AIRCOMPANY LLC,KYRGYZSTAN,BERKUT
KGT,KNIGHTS AIRLINES LTD,NIGERIA,KNIGHT-LINER
KHA,"KITTY HAWK AIRCARGO, INC. (DALLAS-FT. WORTH, TX)",UNITED STATES,AIR KITTYHAWK
KHB,SAKHIR AIR BASE,BAHRAIN,
KHF,REGIONAL STATE UNITARY ENTERPRISE KHABAROVSK AIRLINES,RUSSIAN FEDERATION,KHABAROVSK
KHH,ALEXANDRIA AIRLINES,EGYPT,
KHN,"KHAAN AIRLINES CO., LTD",MONGOLIA,
KHP,KHOZESTAN PHOTROS AIR LINES,IRAN (ISLAMIC REPUBLIC OF),PHOTROS AIR
KHR,KHAZAR,TURKMENISTAN,KHAZAR
KHT,KHATLON AIR,TAJIKISTAN,KHATLON
KHV,CAMBODIA ANGKOR AIR,CAMBODIA,CAMBODIA AIR
KHY,KHYBER AFGHAN AIRLINES,AFGHANISTAN,KHYBER
KIC,"KING COBRA HELI-TAXI, S.A. DE C.V.",MEXICO,KING COBRA
KIE,"AFIT GMBH, PULLACH",GERMANY,TWEETY
KII,KALITTA CHARTERS II LLC,UNITED STATES,DRAGSTER
KIN,KINLOSS FTU,UNITED KINGDOM,KINLOSS
KIP,KINNARPS,SWEDEN,KINNARPS
KIS,KISH AIR,IRAN (ISLAMIC REPUBLIC OF),KISH AIR
KIW,ROYAL NEW ZEALAND AIR FORCE,NEW ZEALAND,KIWI
KJD,FORCES AERIENNES ALGERIENNES,ALGERIA,ALGERIAN AIRFORCE
KJE,KAPAJET,GREECE,KAPAJET
KJT,"SHANGHAI KINGJET GENERAL AVIATION CO., LTD",CHINA,SHANGHAI KINGJET
KKK,ATLASJET HAVACILIK A.S.,TURKEY,ATLASJET
KLA,SKA SA AIRCRAFT LEASING (PTY) LTD,SOUTH AFRICA,SKYLIGHT AIR
KLC,KLM CITYHOPPER BV,NETHERLANDS,CITY
KLD,AIR KLAIPEDA,LITHUANIA,AIR KLAIPEDA
KLE,"RUSAERO, CENTER FOR CIVIL AVIATION SERVICES",RUSSIAN FEDERATION,
KLG,KARLOG AIR CHARTER APS,DENMARK,KARLOG
KLJ,JSC KLASJET,LITHUANIA,CLASS LINE
KLM,KLM ROYAL DUTCH AIRLINES,NETHERLANDS,KLM
KLR,"COLUMBUS AIR TRANSPORT, INC. (COLUMBUS, OH)",UNITED STATES,KAY-LER
KLX,KELIX AIR,NIGERIA,KELIX
KLZ,"AEROKALUZ, S.A. DE C.V.",MEXICO,AEROKALUZ
KMA,"KOMIAVIATRANS, OPEN JOINT STOCK COMPANY",RUSSIAN FEDERATION,KOMI AVIA
KME,"CAMBODIA AIRWAYS CO., LTD.",CAMBODIA,GIANT IBIS
KMF,KAM AIR,AFGHANISTAN,KAMGAR
KMI,"K-MILE AIR CO., LTD",THAILAND,KAY-MILE AIR
KMK,"KAMAKA AIR, INC.",UNITED STATES,KAMAKA
KMS,TRANSPORTE AEREO DE CARGA COSMOS S.A.,COLOMBIA,
KMW,KOSTROMA AIRENTERPRISE,RUSSIAN FEDERATION,KOSTROMA
KMZ,COMORES AVIATION INTERNATIONAL,COMOROS,COMORES AVIATION
KNA,"KUNMING AIRLINES CO., LTD",CHINA,KUNMING AIR
KND,"KANNITHI AVIATION CO., LTD",THAILAND,KANNITHI AIR
KNE,FLYNAS COMPANY CLOSED JOINT STOCK COMPANY,SAUDI ARABIA,NAS EXPRESS
KNM,G B HELICOPTERS LTD,UNITED KINGDOM,KINGDOM
KNT,FLIGHTPATH CHARTER AIRWAYS INC.,CANADA,KINETIC
KNY,KENLEY (RAF),UNITED KINGDOM,KENLEY
KNZ,"EXECUTIVE TRAVEL AIR (SHREVEPORT, LA)",UNITED STATES,KINZE
KOA,"KOANDA AVIACION, S.L.",SPAIN,KOANDA
KOC,SETAIR,TURKEY,SETAIR
KOK,"HORIZON AIR SERVICE (HONOLULU, HI)",UNITED STATES,KOKO
KOM,COSMO LINEAS AEREAS S.L.,SPAIN,BLACKEAGLE
KON,AIR CONNECT AVIATION GROUP,ROMANIA,AIR CONNECT
KOR,AIR KORYO,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,AIR KORYO
KOW,"BAKER AVIATION, LLC (FORT WORTH, TX)",UNITED STATES,RODEO
KPA,"HE NAN AIRLINES CO., LTD",CHINA,KUN PENG
KPJ,KARTHAGO PRIVATE JET,TUNISIA,
KPO,"NXT JET, INC",UNITED STATES,KRYPTO
KPR,TRUSTCO AIR SERVICES (PTY) LTD,NAMIBIA,SKIPPER
KPT,KAPITAL AVIATION,UNITED KINGDOM,BALADO
KQA,KENYA AIRWAYS LTD.,KENYA,KENYA
KRA,ARKAS S.A.,COLOMBIA,
KRC,NEW ZEALAND DEFENCE FORCE,NEW ZEALAND,KIWI RESCUE
KRE,AEROSUCRE S.A.,COLOMBIA,AEROSUCRE
KRF,UK ROYAL/VIP FLIGHTS (IN MILITARY AIRCRAFT),UNITED KINGDOM,KITTYHAWK
KRH,UK ROYAL/VIP FLIGHTS (IN CIVIL CHARTERED AIRCRAFT),UNITED KINGDOM,SPARROWHAWK
KRN,KARINOU AIRLINES,CENTRAL AFRICAN REPUBLIC,
KRO,"KROONK, AIR AGENCY LTD",UKRAINE,KROONK
KRP,CARPATAIR S.A.,ROMANIA,CARPATAIR
KRS,AIR COMPANY COURSE-S,RUSSIAN FEDERATION,ATLAS
KRT,KIRKNEWTON (RAF),UNITED KINGDOM,KIRKNEWTON
KRU,KARUN AIRLINES,IRAN (ISLAMIC REPUBLIC OF),KARUN
KRV,"KHORIV-AVIA, STATE ENTERPRISE",UKRAINE,KHORIV-AVIA
KSA,K.S. AVIA,LATVIA,SKY CAMEL
KSF,KENT STATE UNIVERSITY,UNITED STATES,KENT
KSI,"AIR KISSARI, TRANSPORTE AEREO",ANGOLA,KISSARI
KSM,KOSMOS,RUSSIAN FEDERATION,KOSMOS
KSP,SERVICIOS AEREOS ESPECIALIZADOS EN TRANSPORTES PETROLEROS,COLOMBIA,SAEP
KST,"PTL LUFTFAHRTUNTERNEHMEN GMBH, LANDSHUT",GERMANY,KING STAR
KSU,"KANSAS STATE UNIVERSITY (MANHATTAN, KS)",UNITED STATES,K-STATE
KSV,UN HUMANITARIAN RELIEF FLIGHTS (KOSOVO),,KOSFLIGHT
KSZ,SUNRISE AIRWAYS,HAITI,
KTA,K2 AIRWAYS,PAKISTAN,CITY LINK
KTB,TRANSAVIABALTIKA,LITHUANIA,TRANSBALTIKA
KTL,P & P FLOSS PICK MANUFACTURERS CC.,SOUTH AFRICA,KNOTTSBERRY
KTO,AEROSERVICIOS KRATOS SA DE CV,MEXICO,KRATOS
KTR,SKYAVIATRANS,UKRAINE,
KTU,KOREA NATIONAL UNIVERSITY OF TRANSPORT,REPUBLIC OF KOREA,TRANSPORT UNI
KTV,KATA TRANSPORTATION CO. LTD,SUDAN,KATAVIA
KUA,"KAUA TRANSPORTES AEREOS, S.A. DE C.V.",MEXICO,TRANSPORTES KAUA
KUD,KUDOS AVIATION,UNITED KINGDOM,AIR KUDOS
KUG,KUWAITI GOV.,KUWAIT,KUWAITI GOV
KUH,KUSH AVIATION CO. LTD,SUDAN,KUSH AVIATION
KUK,KUDLIK AVIATION INC.,CANADA,KUDLIK
KUR,"KURA-KURA AVIATION, PT.",INDONESIA,KAY-AVIATION
KUS,NATIONAL AIRWAYS CORPORATION CAPE TOWN (PTY) LTD TRADING AS NATIONAL AIRLINES,SOUTH AFRICA,KUSWAG
KVA,"KAVOK AIRLINES, C.A.",VENEZUELA,CATATUMBO
KVN,KOREA AVIATION CO. LTD,REPUBLIC OF KOREA,KOREA AVIATION
KVT,K5 TRANSPORT LOGISTICS (PTY) LTD T/A K5 AVIATION,SOUTH AFRICA,ALL AFRICA
KVZ,Z-AERO AIRLINES LTD,UKRAINE,
KWN,"KWENA AIR, SOUTH AFRICAN CHARTER",SOUTH AFRICA,KWENA
KWX,"FLORIDA AEROCHARTER INC. D/B/A AIR KEY WEST (KEY WEST, FL)",UNITED STATES,KAY DUB
KXA,JIANGXI EXPRESS COMMUTER AVIATION CO. LTD.,CHINA,FINDER AIR
KXP,M JETS INTERNATIONAL SDN BHD,MALAYSIA,XPRESS KARGO
KYA,SKY,ISRAEL,
KYC,SKYBIRD AIR LIMITED,NIGERIA,SKYBIRD CHARTER
KYD,SKY MESSAGING (PTY) LTD,SOUTH AFRICA,SKYAD
KYE,"SKY LEASE I, INC. (GREENSBORO, NC)",UNITED STATES,SKY CUBE
KYR,"SKY AERONAUTICAL SERVICES, S.A. DE C.V.",MEXICO,SKY AERONAUTICAL
KYY,KAYA AIRLINES,MOZAMBIQUE,KAMOZ
KZA,KURZEMES AVIO LTD,RUSSIAN FEDERATION,
KZH,ZHEZKAZGAN-AIR (ZHEZ AIR),KAZAKHSTAN,ULUTAU
KZN,AVIASERVICE LLC,RUSSIAN FEDERATION,KAZANAIR
KZR,AIR ASTANA,KAZAKHSTAN,ASTANALINE
KZU,ULS AIRLINES CARGO,TURKEY,UNIVERSAL CARGO
KZW,KHALIFA AIRWAYS,ALGERIA,KHALIFA AIR
LAA,LIBYAN AIRLINES,LIBYA,LIBAIR
LAB,"L A B FLYING SERVICE (HAINES, AK)",UNITED STATES,LAB
LAC,"LOCKHEED AIRCRAFT CORP. (BURBANK, CA)",UNITED STATES,LOCKHEED
LAD,"LEBANON AIRPORT DEVELOPMENT CORP. (WEST LEBANON, NH)",UNITED STATES,LADCO-AIR
LAE,LINEA AEREA CARGUERA DE COLOMBIA S.A.,COLOMBIA,
LAF,LATVIAN AIR FORCE,LATVIA,LATVIAN AIRFORCE
LAG,AVIATION LEGACY,GAMBIA,AVILEG
LAK,RED WING AEROPLANE COMPANY,UNITED STATES,REDLAKE
LAL,LEGEND AIRLINES,ROMANIA,LEGEND AIRLINES
LAM,LAM - LINHAS AEREAS DE MOCAMBIQUE,MOZAMBIQUE,MOZAMBIQUE
LAN,LINEA AEREA NACIONAL DE CHILE (LAN),CHILE,LAN CHILE
LAO,LAO AIRLINES,LAO PEOPLE S DEMOCRATIC REPUBLIC,LAO
LAP,TRANSPORTES AEREOS DEL MERCOSUR S.A.,PARAGUAY,PARAGUAYA
LAQ,LEBANESE AIR TRANSPORT,LEBANON,LAT
LAR,"LAWRENCE AVIATION, INC. (LAWRENCE, KS)",UNITED STATES,LAWRENCE
LAS,LIONS AIR SKYMEDIA AG DBA SKYMEDIA,SWITZERLAND,LIONS HELICOPTER
LAT,LEBANESE AIR TRANSPORT (CHARTER) CO. S.A.L.,LEBANON,LEBANESE AIR
LAU,LINEAS AEREAS SURAMERICANAS LTDA.,COLOMBIA,SURAMERICANO
LAV,"ALBA STAR, S.A.",SPAIN,ALBASTAR
LAX,LAMINAR AIR S.L.,SPAIN,
LAY,LAYANG-LAYANG AEROSPACE SDN. BHD.,MALAYSIA,LAYANG
LBA,LOBAYE AIRWAYS,CENTRAL AFRICAN REPUBLIC,LOBAYE
LBB,LIBYAN BLUEBIRD,LIBYA,LIBYAN BLUE BIRD
LBD,PROPELLFLY AS,NORWAY,LIGHTBIRD
LBF,AIR FORCE OF LIBYA,LIBYA,LIBYAN AIRFORCE
LBO,ALLIBO AIR CARGO,LIBYA,ALLIBO FREIGHT
LBQ,"QUEST DIAGNOSTICS (READING, PA)",UNITED STATES,LABQUEST
LBR,AIR BOREALIS,CANADA,NORTHLIGHT
LBT,NOUVEL AIR TUNISIE,TUNISIA,NOUVELAIR
LBZ,"ANGKASA SUPER SERVICE, PT.",INDONESIA,
LCA,"LECONTE AIRLINES (WRANGELL, AK)",UNITED STATES,LECONTE
LCB,L.C. BUSRE SAC,PERU,BUSRE
LCC,"THE LANCAIR COMPANY (BEND, OR)",UNITED STATES,LANCAIR
LCH,"LYNCH FLYING SERVICE, INC. (BILLINGS, MT)",UNITED STATES,LYNCH AIR
LCM,"LINEAS AEREAS COMERCIALES, S.A. DE C.V.",MEXICO,LINEAS COMERCIALES
LCN,LINEAS AEREAS CANEDO (LAC),BOLIVIA,CANEDO
LCO,LAN CARGO S.A.,CHILE,LAN CARGO
LCS,LEUCHARS,UNITED KINGDOM,LEUCHARS
LCT,"LINK CONEXION AEREA, S.A. DE C.V.",MEXICO,CONEXION LINK
LCV,SMARTLYNX AIRLINES CABO VERDE,CABO VERDE,CABO CAT
LCY,EXECUJET (UK) LTD,UNITED KINGDOM,LONDON CITY
LDA,LAUDA EUROPE LTD.,MALTA,BEAUFORT
LDG,LEADING EDGE AVIATION LTD.,UNITED KINGDOM,EDGE
LDL,AEROLOGIC,RUSSIAN FEDERATION,
LDM,LAUDA MOTION GMBH,AUSTRIA,LAUDA MOTION
LDN,AL-DONAS AIRLINES LTD,NIGERIA,ALDONAS AIR
LDR,"AERO LIDER, S.A. DE C.V.",MEXICO,AEROLIDER
LDS,LINEAS AEREAS DEL SUR S.A.,ARGENTINA,LINSUR
LDX,SPARFELL LUFTFAHRT GMBH,AUSTRIA,LAUDA RUSH
LEA,UNIJET,FRANCE,LEADAIR
LEB,LEBAP,TURKMENISTAN,LEBAP
LEC,LINEX,CENTRAL AFRICAN REPUBLIC,LECA
LED,BLOM GEOMATICS AS,NORWAY,SWEEPER
LEE,LEEMING FTU,UNITED KINGDOM,JAVELIN
LEG,"THE ARMY AVIATION HERITAGE FOUNDATION (HAMPTON, GA)",UNITED STATES,LEGACY
LEH,REAL AERO CLUB DE LEON,SPAIN,
LEL,LEONESA DE AVIACION S.L.,SPAIN,LEONAVIA
LEM,AVIATSA (AVIACION TECNOLOGICA S.A.),HONDURAS,LEMPIRAS
LEN,"LENTINI AVIATION, INC. (PONTIAC, MI)",UNITED STATES,LENTINI
LEO,SUNAIR AIR OLE S.L.,SPAIN,SUN-OLE
LEP,LEPL PROJECT LIMITED (AIR COSTA),INDIA,LECOSTA
LER,"LINEA AEREA DE SERVICIO EJECUTIVO REGIONAL, C.A.",VENEZUELA,LASER
LET,"AEROLINEAS EJECUTIVAS, S.A. DE C.V.",MEXICO,MEXALE
LEU,LIONS AIR SKYMEDIA AG DBA LIONS AIR,SWITZERLAND,LIONSAIR
LEX,LEXAIR CORPORATE AVIATION,UNITED STATES,LEXAIR
LFA,AEROSIM ACADEMY INC.,UNITED STATES,BUCKY
LFE,LIFE AIR LINHAS AEREAS S.A.,BRAZIL,LIFE AIR
LFG,"LET S JETT, INC",UNITED STATES,LETS JETT
LFI,"NATIONAL AIRWAYS CORPORATION (HELICOPTERS) LTD, SOUTH AFRICA",SOUTH AFRICA,AEROMED
LFK,LINKOPINGS FLYGKLUBB,SWEDEN,
LFL,EXECUTIVE AIR,ZIMBABWE,LIFE FLIGHT
LFO,"DLR DEUTSCHES ZENTRUM FUER LUFT-UND RAUMFAHRT E.V., BRAUNSCHWEIG",GERMANY,LUFO
LFR,ATLANTIC AIRFREIGHT AVIATION (SAO TOME) LTD,SAO TOME AND PRINCIPE,LANFREIGHT
LGA,LOGISTIC AIR SDN. BHD. D/B/A LOGISTIC AIR,MALAYSIA,LOGAIR
LGC,"LEGACY AIR CO., LTD",THAILAND,LEGACY AIR
LGE,ALLEGIANCE,GABON,
LGF,"LEGACY AIRWAYS, LLC",UNITED STATES,LEGACY FREIGHT
LGI,LG INTERNATIONAL CORPORATION,REPUBLIC OF KOREA,ELL-GEE AIR
LGL,LUXAIR - SOCIETE LUXEMBOURGEOISE DE NAVIGATION AERIENNE S.A.,LUXEMBOURG,LUXAIR
LGN,"AEROLAGUNA, S.A. DE C.V.",MEXICO,AEROLAGUNA
LGS,LOT GROUND SERVICE SP. Z.O.O.,POLAND,
LGT,LONGTAIL AVIATION LTD,UNITED KINGDOM,LONGTAIL
LGU,"SERVICIOS AEREOS EJECUTIVOS DE LA LAGUNA, S.A. DE C.V.",MEXICO,LAGUNA
LHA,"CHINA CENTRAL LONGHAO AIRLINES CO., LTD.",CHINA,AIR CANTON
LHB,LIEBHERR-AVIATION GMBH,GERMANY,FAMILY
LHC,LONDON HELICOPTER CHARTERS LTD,UNITED KINGDOM,LONDON EYE
LHG,"AVIATION LEADER GENERAL AVIATION CO., LTD",CHINA,AIR LEADER
LHK,LAHAK,ISRAEL,LAHAK
LHM,"LOCKHEED MARTIN (ASHBURN, VA)",UNITED STATES,
LHN,"EXPRESS ONE INTERNATIONAL, INC. (DALLAS, TX)",UNITED STATES,LONGHORN
LHT,"LUFTHANSA TECHNIK AG, HAMBURG",GERMANY,LUFTHANSA TECHNIK
LIA,LEEWARD ISLANDS AIR TRANSPORT (1974) LTD.,ANTIGUA AND BARBUDA,LIAT
LIB,"POLIZEIHUBSCHRAUBERSTAFFEL HAMBURG, HAMBURG",GERMANY,LIBELLE
LIC,ASIA SKY LINES,TAJIKISTAN,ASIASLINE
LID,ALIDAUNIA SRL,ITALY,ALIDA
LIE,AL-DAWOOD AIR LTD,NIGERIA,AL-DAWOOD AIR
LIF,"ROCKY MOUNTAIN HOLDINGS, L.L.C. (PROVO, UT)",UNITED STATES,LIFECARE
LIL,SC FLY LILI SRL,ROMANIA,LILIES
LIN,AEROLIMOUSINE LTD,RUSSIAN FEDERATION,AEROLIMOUSINE
LIO,LIONEL AIR S.A.C.,PERU,LIONEL
LIP,LIPICAN AER D.O.O.,SLOVENIA,LIPIZAN
LIR,MINSK AIRCRAFT OVERHAUL PLANT,BELARUS,LISLINE
LIT,LEISURE ONE FLY,ITALY,LEONE
LIX,LINXAIR D.O.O.,SLOVENIA,RAPIDLINX
LJB,AL JABEER,UNITED ARAB EMIRATES,AL JABER
LJC,REGENCY JET,UNITED KINGDOM,LITTLE JET
LJM,RUTAIR LIMITED D/B/A AIR LINK,JAMAICA,COOL RUNNINGS
LJT,TAXIJET,SPAIN,LIFEJET
LJY,"L.J. ASSOCIATES D/B/A L J AVIATION (LATROBE, PA)",UNITED STATES,ELJAY
LKA,LUKE AIR,MALTA,LUKE AIR
LKE,"LUCKY AIR CO., LTD",CHINA,LUCKY AIR
LKF,"AVIATION ADVISOR, INC. (ANTIOCH, IL)",UNITED STATES,LAKEFRONT
LKH,SMALL PLANET,CAMBODIA,SKYPLANET
LKN,PT NAM AIR,INDONESIA,NAMAIR
LKS,"AIRLINK SOLUTIONS, S.L.",SPAIN,AIRLIN
LLB,"LLOYD AEREO BOLIVIANO, S.A.",BOLIVIA,LLOYDAEREO
LLC,SMALL PLANET AIRLINES JSC,LITHUANIA,SMALL PLANET
LLD,"LLOYD AVIATION, C.A.",VENEZUELA,AVIA LLOYD
LLE,AEROTRANSPORTE CONVALLES,VENEZUELA,CONVALLES
LLH,AIRPORT HANDLING,UKRAINE,
LLJ,"BEIJING MAYBOUNE GENERAL AVIATION CO., LTD.",CHINA,MAYBOUNE JET
LLK,LIFE LINE AVIATION,GREECE,AIR LIFE
LLL,LAO SKYWAY,LAO PEOPLE S DEMOCRATIC REPUBLIC,LAVIE
LLM,"YAMAL AIRLINES, JOINT-STOCK COMPANY",RUSSIAN FEDERATION,YAMAL
LLN,ALLEN CORPORATION OF AMERICA,UNITED STATES,ALLEN
LLP,SMALL PLANET AIRLINES SP. Z.O.O.,POLAND,SKYPOL
LLR,ALLIANCE AIR,INDIA,ALLIED
LLS,"SERVICIOS AEREOS ESTRELLA, S.A. DE C.V.",MEXICO,SERVIESTRELLA
LLT,CLASSIC JET,LITHUANIA,CLASSIC JET
LLY,LET S FLY,SPAIN,LETSY
LMA,"AEROLIMA, S.A. DE C.V.",MEXICO,AEROLIMA
LMD,LAMIA,VENEZUELA,LAMIA
LME,LIGNES MAURITANIENNES AIR EXPRESS,MAURITANIA,LIMAIR EXPRESS
LMG,SOUTH AFRICAN AIR FORCE,SOUTH AFRICA,SOUTH AFRICAN
LMJ,"LUXAVIATION E.A, S.A.",PORTUGAL,MASTERJET
LMK,GRANTEX AVIATION,UNITED KINGDOM,LANDMARK
LMP,SERVICIOS AEREOS E INMOBILIARIOS ASI SA DE CV,MEXICO,SAISA
LMR,LAMRA LTD,SUDAN,LAMAIR
